altitude_m,velocity_m_s,gamma_rad,range_rad,range_km
0.0,0.0,0.3490658503988659,0.0,0.0
0.0,0.0,0.3839724354387525,0.0,0.0
0.0,0.0,0.4188790204786391,0.0,0.0
0.0,0.0,0.4537856055185257,0.0,0.0
0.0,0.0,0.4886921905584123,0.0,0.0
0.0,0.0,0.5235987755982988,0.0,0.0
0.0,0.0,0.5585053606381855,0.0,0.0
0.0,0.0,0.5934119456780721,0.0,0.0
0.0,0.0,0.6283185307179586,0.0,0.0
0.0,0.0,0.6632251157578453,0.0,0.0
0.0,0.0,0.6981317007977318,0.0,0.0
0.0,0.0,0.7330382858376184,0.0,0.0
0.0,0.0,0.767944870877505,0.0,0.0
0.0,0.0,0.8028514559173916,0.0,0.0
0.0,0.0,0.8377580409572782,0.0,0.0
0.0,0.0,0.8726646259971648,0.0,0.0
0.0,0.0,0.9075712110370514,0.0,0.0
0.0,0.0,0.9424777960769379,0.0,0.0
0.0,0.0,0.9773843811168246,0.0,0.0
0.0,0.0,1.0122909661567112,0.0,0.0
0.0,0.0,1.0471975511965976,0.0,0.0
0.0,0.0,1.0821041362364843,0.0,0.0
0.0,0.0,1.117010721276371,0.0,0.0
0.0,0.0,1.1519173063162575,0.0,0.0
0.0,0.0,1.1868238913561442,0.0,0.0
0.0,0.0,1.2217304763960306,0.0,0.0
0.0,0.0,1.2566370614359172,0.0,0.0
0.0,0.0,1.2915436464758039,0.0,0.0
0.0,0.0,1.3264502315156905,0.0,0.0
0.0,0.0,1.361356816555577,0.0,0.0
0.0,0.0,1.3962634015954636,0.0,0.0
0.0,0.0,1.4311699866353502,0.0,0.0
0.0,0.0,1.4660765716752369,0.0,0.0
0.0,0.0,1.5009831567151235,0.0,0.0
0.0,0.0,1.53588974175501,0.0,0.0
0.0,500.0,0.3490658503988659,0.000147487390928835,0.9396421676076078
0.0,500.0,0.3839724354387525,0.0001455233602365037,0.9271293280667651
0.0,500.0,0.4188790204786391,0.0001433820649869717,0.9134871360319967
0.0,500.0,0.4537856055185257,0.00014106611124020113,0.8987321947113214
0.0,500.0,0.4886921905584123,0.00013857832928413312,0.8828825358692122
0.0,500.0,0.5235987755982988,0.0001359217446571595,0.8659574352107632
0.0,500.0,0.5585053606381855,0.00013309960088894057,0.8479775572634404
0.0,500.0,0.5934119456780721,0.0001301153363694921,0.8289648080100342
0.0,500.0,0.6283185307179586,0.00012697258739015742,0.8089423542626929
0.0,500.0,0.6632251157578453,0.00012367518461476633,0.7879346011806763
0.0,500.0,0.6981317007977318,0.00012022714800002803,0.7659671599081785
0.0,500.0,0.7330382858376184,0.0001166326766541921,0.7430667829638579
0.0,500.0,0.767944870877505,0.00011289615175258459,0.7192613828157164
0.0,500.0,0.8028514559173916,0.00010902212162799564,0.6945799368919602
0.0,500.0,0.8377580409572782,0.00010501531377959613,0.669052564089807
0.0,500.0,0.8726646259971648,0.00010088060380103641,0.642710326816403
0.0,500.0,0.9075712110370514,9.662303138702892e-05,0.6155853329667612
0.0,500.0,0.9424777960769379,9.2247780397708e-05,0.5877106089137978
0.0,500.0,0.9773843811168246,8.776018615296511e-05,0.5591201459805407
0.0,500.0,1.0122909661567112,8.316570883724157e-05,0.5298487310020661
0.0,500.0,1.0471975511965976,7.84699506383836e-05,0.4999320555171419
0.0,500.0,1.0821041362364843,7.367862239642895e-05,0.4694065032876488
0.0,500.0,1.117010721276371,6.879756874326362e-05,0.43830931046333255
0.0,500.0,1.1519173063162575,6.38327326353515e-05,0.40667833961982436
0.0,500.0,1.1868238913561442,5.8790157292330105e-05,0.3745520921094351
0.0,500.0,1.2217304763960306,5.367598692368545e-05,0.3419697126908
0.0,500.0,1.2566370614359172,4.849644436004024e-05,0.30897084701781635
0.0,500.0,1.2915436464758039,4.325785536167547e-05,0.2755957965092344
0.0,500.0,1.3264502315156905,3.79665767587109e-05,0.24188506052974718
0.0,500.0,1.361356816555577,3.262906555626929e-05,0.20787977665899166
0.0,500.0,1.3962634015954636,2.7251820305313057e-05,0.1736213471651495
0.0,500.0,1.4311699866353502,2.184138686885576e-05,0.13915147574148007
0.0,500.0,1.4660765716752369,1.640435802285593e-05,0.10451216496361514
0.0,500.0,1.5009831567151235,1.0947365014066116e-05,0.06974566250461522
0.0,500.0,1.53588974175501,5.477002829251775e-06,0.034893985025163055
0.0,1000.0,0.3490658503988659,0.00029495894307836817,1.8791834263522835
0.0,1000.0,0.3839724354387525,0.00029102960545120815,1.8541496163296471
0.0,1000.0,0.4188790204786391,0.00028674581844639603,1.826857609321989
0.0,1000.0,0.4537856055185257,0.0002821128094062499,1.7973407087272182
0.0,1000.0,0.4886921905584123,0.0002771362299061806,1.7656349207322766
0.0,1000.0,0.5235987755982988,0.0002718221536070061,1.731778940630236
0.0,1000.0,0.5585053606381855,0.0002661770598959461,1.6958140485970725
0.0,1000.0,0.5934119456780721,0.0002602078317781023,1.65778409625829
0.0,1000.0,0.6283185307179586,0.0002539217478198482,1.617735455360253
0.0,1000.0,0.6632251157578453,0.0002473264697254021,1.5757169386205367
0.0,1000.0,0.6981317007977318,0.00024043003695920883,1.5317797654671195
0.0,1000.0,0.7330382858376184,0.0002332408548714571,1.4859774863860533
0.0,1000.0,0.767944870877505,0.00022576768354483508,1.4383659118641443
0.0,1000.0,0.8028514559173916,0.00021801962977253397,1.389003061280814
0.0,1000.0,0.8377580409572782,0.0002100061315997855,1.3379490644222336
0.0,1000.0,0.8726646259971648,0.00020173695233273025,1.2852661233118245
0.0,1000.0,0.9075712110370514,0.00019322216524374593,1.2310184147679053
0.0,1000.0,0.9424777960769379,0.00018447214075759612,1.1752720087666448
0.0,1000.0,0.9773843811168246,0.000175497536573742,1.1180948055113105
0.0,1000.0,1.0122909661567112,0.00016630928349419693,1.0595564451415287
0.0,1000.0,1.0471975511965976,0.000156918568428444,0.9997281994576167
0.0,1000.0,1.0821041362364843,0.00014733682873529775,0.938682935872582
0.0,1000.0,1.117010721276371,0.00013757573081606117,0.8764949810291257
0.0,1000.0,1.1519173063162575,0.00012764715995481618,0.8132400560721338
0.0,1000.0,1.1868238913561442,0.00011756320497318727,0.7489951788841761
0.0,1000.0,1.2217304763960306,0.00010733614134301965,0.6838385564963781
0.0,1000.0,1.2566370614359172,9.697842280693441e-05,0.6178495317029791
0.0,1000.0,1.2915436464758039,8.650265513670298e-05,0.5511084158759347
0.0,1000.0,1.3264502315156905,7.592158885584598e-05,0.48369644260059474
0.0,1000.0,1.361356816555577,6.524811662331145e-05,0.41569575100711725
0.0,1000.0,1.3962634015954636,5.449521301759274e-05,0.34718900213508336
0.0,1000.0,1.4311699866353502,4.367598471136889e-05,0.27825969859613114
0.0,1000.0,1.4660765716752369,3.280358899669434e-05,0.20899166549793963
0.0,1000.0,1.5009831567151235,2.18912664447259e-05,0.1394692585193487
0.0,1000.0,1.53588974175501,1.0952282519392459e-05,0.06977699193104935
0.0,1500.0,0.3490658503988659,0.00044241464957490994,2.8186237324417514
0.0,1500.0,0.3839724354387525,0.00043651872879982685,2.781060821183697
0.0,1500.0,0.4188790204786391,0.00043009125781136596,2.7401114035162126
0.0,1500.0,0.4537856055185257,0.00042314008807876327,2.695825501149801
0.0,1500.0,0.4886921905584123,0.0004156737064146771,2.6482571835679076
0.0,1500.0,0.5235987755982988,0.00040770122673426386,2.597464515523995
0.0,1500.0,0.5585053606381855,0.0003992323763760762,2.5435094698919816
0.0,1500.0,0.5934119456780721,0.0003902774867548883,2.4864578681153935
0.0,1500.0,0.6283185307179586,0.0003808474803066943,2.4263792970339493
0.0,1500.0,0.6632251157578453,0.00037095385428488294,2.363347005648989
0.0,1500.0,0.6981317007977318,0.00036060867087434474,2.29743784214045
0.0,1500.0,0.7330382858376184,0.00034982454086714983,2.2287321498646113
0.0,1500.0,0.767944870877505,0.00033861460597056745,2.1573136546384855
0.0,1500.0,0.8028514559173916,0.0003269925256811879,2.0832693811148477
0.0,1500.0,0.8377580409572782,0.0003149724598612687,2.006689541776143
0.0,1500.0,0.8726646259971648,0.0003025690511999693,1.9276674251950046
0.0,1500.0,0.9075712110370514,0.00028979740693876334,1.8462992796068614
0.0,1500.0,0.9424777960769379,0.00027667308303467073,1.7626842120138873
0.0,1500.0,0.9773843811168246,0.0002632120592053976,1.6769240291975882
0.0,1500.0,1.0122909661567112,0.0002494307283744694,1.5891231704737445
0.0,1500.0,1.0471975511965976,0.0002353458680094777,1.4993885250883825
0.0,1500.0,1.0821041362364843,0.000220974624920687,1.407829335369697
0.0,1500.0,1.117010721276371,0.00020633449564444396,1.3145570717507526
0.0,1500.0,1.1519173063162575,0.00019144329606266103,1.2196852392152133
