altitude_m,velocity_m_s,gamma_rad,range_rad
0.0,500.0,-0.3490658503988659,7.374963443517977e-05
0.0,500.0,-0.17453292519943295,7.728936984729008e-05
0.0,500.0,0.0,7.848061496588825e-05
0.0,500.0,0.17453292519943295,7.7287266856121e-05
0.0,500.0,0.3490658503988659,7.374567664653824e-05
0.0,500.0,0.5235987755982988,6.796353953155645e-05
0.0,500.0,0.6981317007977318,6.011660692806287e-05
0.0,500.0,0.8726646259971648,5.0443333758194115e-05
0.0,500.0,1.0471975511965976,3.923764077672175e-05
0.0,500.0,1.2217304763960306,2.683996972312429e-05
0.0,500.0,1.3962634015954636,1.3626963225342535e-05
0.0,1000.0,-0.3490658503988659,0.000147503226599998
0.0,1000.0,-0.17453292519943295,0.00015458084850398474
0.0,1000.0,0.0,0.00015696122863797488
0.0,1000.0,0.17453292519943295,0.00015457242145626082
0.0,1000.0,0.3490658503988659,0.000147487390928835
0.0,1000.0,0.5235987755982988,0.0001359217446571595
0.0,1000.0,0.6981317007977318,0.00012022714800002803
0.0,1000.0,0.8726646259971648,0.00010088060380103641
0.0,1000.0,1.0471975511965976,7.84699506383836e-05
0.0,1000.0,1.2217304763960306,5.367598692368545e-05
0.0,1000.0,1.3962634015954636,2.7251820305313057e-05
0.0,1500.0,-0.3490658503988659,0.00022126077944612869
0.0,1500.0,-0.17453292519943295,0.00023187443125434928
0.0,1500.0,0.0,0.0002354418416086532
0.0,1500.0,0.17453292519943295,0.0002318554717734144
0.0,1500.0,0.3490658503988659,0.00022122514630038928
0.0,1500.0,0.5235987755982988,0.0002038746170471565
0.0,1500.0,0.6981317007977318,0.00018033162496587188
0.0,1500.0,0.8726646259971648,0.0001513118096138327
0.0,1500.0,1.0471975511965976,0.00011769692434034443
0.0,1500.0,1.2217304763960306,8.050804220626487e-05
0.0,1500.0,1.3962634015954636,4.087457235445081e-05
0.0,2000.0,-0.3490658503988659,0.00029502228726964984
0.0,2000.0,-0.17453292519943295,0.0003091701174527059
0.0,2000.0,0.0,0.0003139224511694753
0.0,2000.0,0.17453292519943295,0.00030913641213378305
0.0,2000.0,0.3490658503988659,0.00029495894307836817
0.0,2000.0,0.5235987755982988,0.0002718221536070061
0.0,2000.0,0.6981317007977318,0.00024043003695920883
0.0,2000.0,0.8726646259971648,0.00020173695233273025
0.0,2000.0,1.0471975511965976,0.000156918568428444
0.0,2000.0,1.2217304763960306,0.00010733614134301965
0.0,2000.0,1.3962634015954636,5.449521301759274e-05
0.0,2500.0,-0.3490658503988659,0.0003687877533986929
0.0,2500.0,-0.17453292519943295,0.00038646790645343714
0.0,2500.0,0.0,0.00039240305659249777
0.0,2500.0,0.17453292519943295,0.00038641524232218915
0.0,2500.0,0.3490658503988659,0.00036868877646076346
0.0,2500.0,0.5235987755982988,0.00033976435712335963
0.0,2500.0,0.6981317007977318,0.00030052238643831424
0.0,2500.0,0.8726646259971648,0.00025215603265382654
0.0,2500.0,1.0471975511965976,0.000196134882657676
0.0,2500.0,1.2217304763960306,0.00013416028597012985
0.0,2500.0,1.3962634015954636,6.811375875696925e-05
0.0,3000.0,-0.3490658503988659,0.00044255717589290105
0.0,3000.0,-0.17453292519943295,0.00046376779904733765
0.0,3000.0,0.0,0.0004708836570083125
0.0,3000.0,0.17453292519943295,0.00046369196183610064
