altitude_m,velocity_m_s,gamma_rad,range_rad
0.0,500.0,-1.5707963267948966,0.0
0.0,500.0,-1.4835298641951802,1.3682211803482297e-05
0.0,500.0,-1.3962634015954636,2.726024391299746e-05
0.0,500.0,-1.3089969389957472,4.0630715086959565e-05
0.0,500.0,-1.2217304763960306,5.369182010071715e-05
0.0,500.0,-1.1344640137963142,6.634411988570424e-05
0.0,500.0,-1.0471975511965976,7.849128350228493e-05
0.0,500.0,-0.9599310885968813,9.004084082588697e-05
0.0,500.0,-0.8726646259971648,0.00010090486650684387
0.0,500.0,-0.7853981633974483,0.00011100067018074765
0.0,500.0,-0.6981317007977318,0.00012025140980576366
0.0,500.0,-0.6108652381980153,0.00012858668838371993
0.0,500.0,-0.5235987755982988,0.0001359430813389302
0.0,500.0,-0.4363323129985824,0.00014226462080305606
0.0,500.0,-0.3490658503988659,0.000147503226599998
0.0,500.0,-0.2617993877991494,0.00015161906559728872
0.0,500.0,-0.17453292519943295,0.00015458084850398474
0.0,500.0,-0.08726646259971647,0.00015636608403730762
0.0,500.0,0.0,0.00015696122863797488
0.0,500.0,0.08726646259971647,0.0001563618054269252
0.0,500.0,0.17453292519943295,0.00015457242145626082
0.0,500.0,0.2617993877991494,0.00015160674800377848
0.0,500.0,0.3490658503988659,0.000147487390928835
0.0,500.0,0.4363323129985824,0.00014224574965063854
0.0,500.0,0.5235987755982988,0.0001359217446571595
0.0,500.0,0.6108652381980153,0.0001285635384299042
0.0,500.0,0.6981317007977318,0.00012022714800002803
0.0,500.0,0.7853981633974483,0.00011097603364686087
0.0,500.0,0.8726646259971648,0.00010088060380103641
0.0,500.0,0.9599310885968813,9.001769033506039e-05
0.0,500.0,1.0471975511965976,7.84699506383836e-05
0.0,500.0,1.1344640137963142,6.632524759427382e-05
0.0,500.0,1.2217304763960306,5.367598692368545e-05
0.0,500.0,1.3089969389957472,4.061839250085854e-05
0.0,500.0,1.3962634015954636,2.7251820305313057e-05
0.0,500.0,1.4835298641951802,1.3677951104524428e-05
0.0,1000.0,-1.5707963267948966,0.0
0.0,1000.0,-1.4835298641951802,2.736870359433693e-05
0.0,1000.0,-1.3962634015954636,5.452892170298935e-05
0.0,1000.0,-1.3089969389957472,8.127375680444765e-05
0.0,1000.0,-1.2217304763960306,0.00010739948748935973
0.0,1000.0,-1.1344640137963142,0.00013270712149567187
0.0,1000.0,-1.0471975511965976,0.00015700391331978933
0.0,1000.0,-0.9599310885968813,0.000180104838340895
0.0,1000.0,-0.8726646259971648,0.00020183400205274333
0.0,1000.0,-0.7853981633974483,0.00022202598113748792
0.0,1000.0,-0.6981317007977318,0.00024052708695121246
0.0,1000.0,-0.6108652381980153,0.0002571965310339926
0.0,1000.0,-0.5235987755982988,0.00027190749870133505
0.0,1000.0,-0.4363323129985824,0.00028454811433240387
0.0,1000.0,-0.3490658503988659,0.00029502228726964984
0.0,1000.0,-0.2617993877991494,0.0003032504419530323
0.0,1000.0,-0.17453292519943295,0.0003091701174527059
0.0,1000.0,-0.08726646259971647,0.0003127364379679587
0.0,1000.0,0.0,0.0003139224511694753
0.0,1000.0,0.08726646259971647,0.00031271932494583157
0.0,1000.0,0.17453292519943295,0.00030913641213378305
0.0,1000.0,0.2617993877991494,0.00030320116828181005
0.0,1000.0,0.3490658503988659,0.00029495894307836817
0.0,1000.0,0.4363323129985824,0.0002844726223071793
0.0,1000.0,0.5235987755982988,0.0002718221536070061
0.0,1000.0,0.6108652381980153,0.00025710392646951087
0.0,1000.0,0.6981317007977318,0.00024043003695920883
0.0,1000.0,0.7853981633974483,0.00022192743500321738
0.0,1000.0,0.8726646259971648,0.00020173695233273025
0.0,1000.0,0.9599310885968813,0.00018001223453015586
0.0,1000.0,1.0471975511965976,0.000156918568428444
0.0,1000.0,1.1344640137963142,0.00013263162898686254
0.0,1000.0,1.2217304763960306,0.00010733614134301965
0.0,1000.0,1.3089969389957472,8.122448286475017e-05
0.0,1000.0,1.3962634015954636,5.449521301759274e-05
0.0,1000.0,1.4835298641951802,2.7351587747167084e-05
0.0,1500.0,-1.5707963267948966,0.0
0.0,1500.0,-1.4835298641951802,4.10594757213594e-05
0.0,1500.0,-1.3962634015954636,8.180603006154017e-05
0.0,1500.0,-1.3089969389957472,0.00012192912464174016
0.0,1500.0,-1.2217304763960306,0.00016112300042036637
0.0,1500.0,-1.1344640137963142,0.00019908900923867068
0.0,1500.0,-1.0471975511965976,0.00023553789252693942
0.0,1500.0,-0.9599310885968813,0.00027019200326042366
0.0,1500.0,-0.8726646259971648,0.00030278741480173284
0.0,1500.0,-0.7853981633974483,0.00033307594244424
0.0,1500.0,-0.6981317007977318,0.0003608270338918807
0.0,1500.0,-0.6108652381980153,0.00038582952765877406
0.0,1500.0,-0.5235987755982988,0.0004078932514299139
0.0,1500.0,-0.4363323129985824,0.00042685047565985227
0.0,1500.0,-0.3490658503988659,0.00044255717589290105
0.0,1500.0,-0.2617993877991494,0.0004548941276032121
0.0,1500.0,-0.17453292519943295,0.00046376779904733765
0.0,1500.0,-0.08726646259971647,0.00046911105520558666
0.0,1500.0,0.0,0.0004708836570083125
0.0,1500.0,0.08726646259971647,0.00046907255149515766
0.0,1500.0,0.17453292519943295,0.00046369196183610064
0.0,1500.0,0.2617993877991494,0.0004547832616851045
0.0,1500.0,0.3490658503988659,0.00044241464957490994
0.0,1500.0,0.4363323129985824,0.0004266806194112279
