altitude_m,velocity_m_s,gamma_rad,range_rad,range_km
100.0,100.0,-0.3490658503988659,4.397889848925914e-05,0.28018956227506997
100.0,100.0,-0.3141592653589793,4.45112301463907e-05,0.28358104726265515
100.0,100.0,-0.2792526803190927,4.498934246238069e-05,0.2866271008278274
100.0,100.0,-0.24434609527920614,4.541266209748137e-05,0.2893240702230538
100.0,100.0,-0.20943951023931956,4.5780674355771886e-05,0.2916686763206227
100.0,100.0,-0.17453292519943295,6.13292513305115e-05,0.39072866022668884
100.0,100.0,-0.13962634015954636,6.167081172047577e-05,0.3929047414711512
100.0,100.0,-0.10471975511965978,6.193726221300599e-05,0.3946022975590611
100.0,100.0,-0.06981317007977318,6.212827540667527e-05,0.39581924261592816
100.0,100.0,-0.03490658503988659,7.764409869290892e-05,0.49467055277252275
100.0,100.0,0.0,7.769479880876317e-05,0.49499356321063015
100.0,100.0,0.03490658503988659,7.765085890527755e-05,0.4947136220855233
100.0,100.0,0.06981317007977318,9.282543427573502e-05,0.5913908417707079
100.0,100.0,0.10471975511965978,9.25485414760947e-05,0.5896267577441993
100.0,100.0,0.13962634015954636,0.00010730160427159997,0.6836185208143634
100.0,100.0,0.17453292519943295,0.00010672004527692622,0.679913408459297
100.0,100.0,0.20943951023931956,0.00012091080973801329,0.7703227688408827
100.0,100.0,0.24434609527920614,0.00011995542315268452,0.7642360009057532
100.0,100.0,0.2792526803190927,0.0001334480028782296,0.8501972263372007
100.0,100.0,0.3141592653589793,0.00013205274877828405,0.8413080624664477
100.0,110.0,-0.3490658503988659,4.834791457766518e-05,0.30802456377430487
100.0,110.0,-0.3141592653589793,4.893314683003569e-05,0.3117530784541574
100.0,110.0,-0.2792526803190927,4.945877452855871e-05,0.31510185252144757
100.0,110.0,-0.24434609527920614,4.992417185317691e-05,0.31806689887659007
100.0,110.0,-0.20943951023931956,5.0328750800018555e-05,0.32064447134691826
100.0,110.0,-0.17453292519943295,5.067203349062419e-05,0.32283152536876675
100.0,110.0,-0.13962634015954636,6.778434715455494e-05,0.4318540757216695
100.0,110.0,-0.10471975511965978,6.807726408693376e-05,0.43372024949785504
100.0,110.0,-0.06981317007977318,6.828725992495574e-05,0.435058132981893
100.0,110.0,-0.03490658503988659,8.53250665418141e-05,0.5436059989378976
100.0,110.0,0.0,8.538088923548138e-05,0.5439616453192518
100.0,110.0,0.03490658503988659,8.53327027589827e-05,0.5436546492774788
100.0,110.0,0.06981317007977318,0.00010198982518824608,0.6497771762743159
100.0,110.0,0.10471975511965978,0.00010168578279166863,0.6478401221657208
100.0,110.0,0.13962634015954636,0.00011787469924451761,0.7509797088868218
100.0,110.0,0.17453292519943295,0.00011723613177807965,0.7469113955581453
100.0,110.0,0.20943951023931956,0.00013280302771787476,0.8460880895905801
100.0,110.0,0.24434609527920614,0.0001317540998033733,0.8394053698472912
100.0,110.0,0.2792526803190927,0.00014655067353908758,0.933674341117527
100.0,110.0,0.3141592653589793,0.00016079145352860155,1.0244023504307207
100.0,120.0,-0.3490658503988659,3.522841565950564e-05,0.2244402361667104
100.0,120.0,-0.3141592653589793,5.334974697390547e-05,0.33989123797075177
100.0,120.0,-0.2792526803190927,5.3922842951524795e-05,0.3435424324441645
100.0,120.0,-0.24434609527920614,5.443026028398712e-05,0.34677518826928194
100.0,120.0,-0.20943951023931956,5.4871378897970227e-05,0.3495855549589683
100.0,120.0,-0.17453292519943295,5.5245664767634085e-05,0.3519701302345968
100.0,120.0,-0.13962634015954636,7.388814518768488e-05,0.47074137299074037
100.0,120.0,-0.10471975511965978,7.420749700663831e-05,0.4727759634292927
100.0,120.0,-0.06981317007977318,7.443646543878792e-05,0.47423472131051786
